Date,운영차압,비플럭스,원수 수온,원수 탁도,원수 TDS,원수 전기전도도,원수 pH,유입압력,생산량,is_operating,cycle_id,rain,temp
2021-06-08 11:00:01,4.1499999999999995,4.599384813816333,18.63,2.392594339622642,319.37399999999997,532.29,6.98,10.19,870.08,True,5,0.0,24.945987762311916
2021-06-08 12:00:01,4.159999999999999,4.5857246135352225,18.71,2.3884551886792456,321.012,535.02,6.98,10.2,870.43,True,5,0.0,26.815370292208637
2021-06-08 13:00:01,3.83,4.6422138333428276,18.83,2.384316037735849,322.08599999999996,536.81,6.98,9.58,828.17,True,5,0.0,27.50067755711945
2021-06-08 14:00:01,3.84,4.634506993986727,18.83,2.3801768867924533,324.74399999999997,541.24,6.98,9.6,828.3,True,5,0.0,27.03897871134087
2021-06-08 15:00:01,3.83,4.637156382995784,18.86,2.376037735849057,327.03,545.05,6.97,9.59,828.47,True,5,0.0,25.664377598600097
2021-06-08 16:00:01,3.25,4.747824749771693,18.88,2.3718985849056606,328.662,547.77,6.97,8.51,747.48,True,5,0.0,26.180985820224784
2021-06-08 17:00:01,3.29,4.741648841794018,18.82,2.3677594339622643,329.78999999999996,549.65,6.97,8.57,749.85,True,5,0.0,24.48777529015726
2021-06-08 18:00:01,3.29,4.776966280331763,18.73,2.3636202830188684,330.57,550.95,6.96,8.57,752.47,True,5,0.0,23.4773104570019
2021-06-08 19:00:01,3.2799999999999994,4.788817082745049,18.69,2.359481132075472,331.464,552.44,6.96,8.54,750.11,True,5,0.0,22.83123105603229
2021-06-08 20:00:01,3.290000000000001,4.756617529921029,18.67,2.3553419811320757,332.316,553.86,6.96,8.56,746.28,True,5,0.0,22.169936972702185
2021-06-08 21:00:01,3.29,4.772588691042808,18.61,2.3512028301886794,333.138,555.23,6.95,8.59,750.57,True,5,0.0,21.31163286188984
2021-06-08 22:00:01,3.3,4.790802562368837,18.56,2.3470636792452835,333.48599999999993,555.81,6.95,8.6,752.63,True,5,0.0,20.68953516684464
2021-06-08 23:00:01,3.3099999999999996,4.821310807720218,18.47,2.342924528301887,333.55199999999996,555.92,6.95,8.6,754.0,True,5,0.0,20.56561552801615
2021-06-09 00:00:01,3.29,4.799411547543057,18.41,2.338785377358491,332.94,554.9,6.94,8.57,746.71,True,5,0.0,20.309133360987097
2021-06-09 01:00:01,3.3099999999999996,4.815860365678654,18.31,2.3346462264150944,331.692,552.82,6.94,8.62,751.46,True,5,0.0,19.68870199987705
2021-06-09 02:00:01,3.2799999999999994,4.806564473248051,18.27,2.3305070754716986,330.474,550.79,6.94,8.6,748.55,True,5,0.0,19.155399847461126
2021-06-09 03:00:01,3.299999999999999,4.795248922166675,18.25,2.326367924528302,329.754,549.59,6.93,8.62,747.7,True,5,0.0,18.929813874697476
2021-06-09 04:00:01,3.289999999999999,4.78057057362078,18.26,2.322228773584906,330.174,550.29,6.93,8.61,745.1,True,5,0.0,18.96827063876702
2021-06-09 05:00:01,3.289999999999999,4.803360320416501,18.28,2.31808962264151,331.182,551.97,6.93,8.61,748.91,True,5,0.0,18.97931948628962
2021-06-09 06:00:01,3.3199999999999994,4.801361543364946,18.3,2.3139504716981136,332.52000000000004,554.2,6.93,8.68,755.81,True,5,0.0,19.340862722220077
2021-06-09 07:00:01,3.3199999999999994,4.759777176378816,18.33,2.3098113207547173,333.9,556.5,6.93,8.68,750.06,True,5,0.0,19.974258417388217
2021-06-09 08:00:01,3.3,4.761681853320629,18.41,2.305672169811321,335.72999999999996,559.55,6.92,8.66,750.89,True,5,0.0,21.48290130676029
2021-06-09 09:00:01,4.2,4.6053481353061025,18.47,2.301533018867925,337.67999999999995,562.8,6.92,10.32,875.13,True,5,0.0,23.702499500902743
2021-06-09 10:00:01,4.21,4.58147098804727,18.51,2.2973938679245287,338.868,564.78,6.92,10.32,871.27,True,5,0.0,25.658148500964217
2021-06-09 11:00:01,4.19,4.617843445957323,18.55,2.2932547169811324,340.52399999999994,567.54,6.92,10.25,871.84,True,5,0.0,27.2861404318784
2021-06-09 12:00:01,4.16,4.611350320534828,18.6,2.289115566037736,341.13599999999997,568.56,6.92,10.24,872.43,True,5,0.0,28.98024619600941
2021-06-09 13:00:01,4.1899999999999995,4.613619740761484,18.66,2.28497641509434,341.57399999999996,569.29,6.92,10.27,876.53,True,5,0.0,30.101666333935164
2021-06-09 14:00:01,4.210000000000001,4.594295211087291,18.69,2.280837264150944,342.522,570.87,6.92,10.3,876.3,True,5,0.0,30.5898778621972
2021-06-09 15:00:01,4.1899999999999995,4.599127462393413,18.73,2.2766981132075474,343.15799999999996,571.93,6.92,10.27,875.87,True,5,0.0,31.154660223245763
2021-06-09 16:00:01,4.159999999999999,4.592494528491887,18.72,2.272558962264151,343.52399999999994,572.54,6.92,10.2,867.48,True,5,0.0,31.26064800186696
2021-06-09 17:00:01,4.170000000000001,4.610085051817607,18.71,2.268419811320755,343.53,572.55,6.92,10.21,871.08,True,5,0.0,29.236230057837787
2021-06-09 18:00:01,4.180000000000001,4.619848778977869,18.62,2.264280660377359,342.924,571.54,6.92,10.23,871.86,True,5,0.0,28.23638566768592
2021-06-09 19:00:01,4.140000000000001,4.608079365088371,18.62,2.2601415094339625,342.132,570.22,6.92,10.16,863.69,True,5,0.0,27.272342930852712
2021-06-09 20:00:01,4.169999999999999,4.615629093215977,18.59,2.256002358490566,341.526,569.21,6.92,10.2,867.52,True,5,0.0,25.96379358423286
2021-06-09 21:00:01,4.170000000000001,4.612251396098897,18.57,2.2518632075471703,340.866,568.11,6.92,10.23,869.76,True,5,0.0,24.527929863818272
2021-06-09 22:00:01,4.2,4.628992651681159,18.53,2.247724056603774,339.648,566.08,6.92,10.26,873.82,True,5,0.0,23.5192869744462
2021-06-09 23:00:01,4.180000000000001,4.630440423461385,18.53,2.2435849056603776,338.4,564.0,6.92,10.24,872.93,True,5,0.0,23.02450365319573
2021-06-10 00:00:01,4.220000000000001,4.582025642611502,18.57,2.2394457547169813,337.584,562.64,6.93,10.32,872.87,True,5,0.0,22.25274473671025
2021-06-10 01:00:01,4.210000000000001,4.565614702998636,18.63,2.2353066037735854,337.272,562.12,6.93,10.3,869.86,True,5,0.0,22.493023444563093
2021-06-10 02:00:01,3.89,4.66357430159143,18.64,2.231167452830189,337.14599999999996,561.91,6.93,9.7,833.96,True,5,0.0,21.74595526677778
2021-06-10 03:00:01,3.88,4.647871692075014,18.64,2.2270283018867927,336.492,560.82,6.93,9.67,828.47,True,5,0.0,21.399844390151877
2021-06-10 04:00:01,3.9000000000000017,4.6340760977447495,18.67,2.2228891509433963,335.898,559.83,6.93,9.71,830.67,True,5,0.0,21.500677557119456
2021-06-10 05:00:01,3.899999999999999,4.630812442745817,18.7,2.2187500000000004,335.424,559.04,6.93,9.7,830.0,True,5,0.0,21.03657275319034
2021-06-10 06:00:01,3.89,4.6387003465209125,18.71,2.214610849056604,335.20799999999997,558.68,6.93,9.7,832.26,True,5,0.0,21.269197348486813
2021-06-10 07:00:01,3.899999999999999,4.628260592083069,18.74,2.2104716981132078,335.544,559.24,6.93,9.69,829.5,True,5,0.0,22.29046187656444
2021-06-10 08:00:01,3.899999999999999,4.617899307476545,18.8,2.206332547169812,335.796,559.66,6.93,9.68,828.38,True,5,0.0,23.94345576587504
2021-06-10 09:00:01,3.89,4.628799201345467,18.82,2.2021933962264155,335.95199999999994,559.92,6.93,9.7,833.56,True,5,0.0,25.37857986207425
2021-06-10 10:00:01,3.9,4.619447206613345,18.91,2.198054245283019,336.25199999999995,560.42,6.93,9.67,830.64,True,5,0.0,27.15981483489938
2021-06-10 11:00:01,3.91,4.617033141931499,18.98,2.193915094339623,336.62999999999994,561.05,6.93,9.66,830.56,True,5,0.0,28.48456764069545
2021-06-10 12:00:01,3.870000000000001,4.611704961451797,19.04,2.189775943396227,337.398,562.33,6.93,9.64,831.25,True,5,0.0,28.860803611715085
